241.2397,,,date,real,predict
196.6861,,,2019/10/4,225.639999,145.61687
155.15005,,,2019/10/7,226.270004,145.07883
122.5935,,,2019/10/8,225.820007,144.5511
103.277824,,,2019/10/9,227.029999,144.2115
96.90572,,,2019/10/10,227.929993,144.19781
99.0212,,,2019/10/11,232.949997,144.08115
103.86362,,,2019/10/14,234.899994,143.67592
107.78381,,,2019/10/15,236.389999,143.18321
110.092,,,2019/10/16,233.369995,143.1356
111.272964,,,2019/10/17,235.089996,143.59816
111.94051,,,2019/10/18,234.589996,144.47456
112.265015,,,2019/10/21,237.520004,145.19926
112.65048,,,2019/10/22,241.160004,146.16621
113.06706,,,2019/10/23,242.100006,147.33112
113.96462,,,2019/10/24,244.509995,148.34613
115.0655,,,2019/10/25,243.160004,149.27498
116.47222,,,2019/10/28,247.419998,150.21275
117.674934,,,2019/10/29,248.970001,150.5103
118.69009,,,2019/10/30,244.759995,150.4403
119.39347,,,2019/10/31,247.240005,150.63664
118.7299,,,,,
117.59469,,,,,
116.77119,,,,,
116.51937,,,,,
116.30483,,,,,
115.2242,,,,,
114.398926,,,,,
113.875595,,,,,
113.210785,,,,,
112.47875,,,,,
111.09892,,,,,
109.53112,,,,,
109.17632,,,,,
110.11186,,,,,
111.51523,,,,,
112.83862,,,,,
113.61173,,,,,
113.71128,,,,,
113.71278,,,,,
113.81424,,,,,
113.81697,,,,,
113.416664,,,,,
112.210106,,,,,
110.34938,,,,,
108.64177,,,,,
107.95145,,,,,
108.85887,,,,,
110.65833,,,,,
112.12092,,,,,
112.314476,,,,,
111.71108,,,,,
110.428215,,,,,
109.13203,,,,,
108.473495,,,,,
108.72177,,,,,
109.88229,,,,,
111.61349,,,,,
112.97224,,,,,
114.58185,,,,,
116.0185,,,,,
117.2992,,,,,
118.18987,,,,,
118.6943,,,,,
118.89359,,,,,
119.210106,,,,,
119.64941,,,,,
119.74315,,,,,
119.81233,,,,,
120.510475,,,,,
122.28152,,,,,
124.61511,,,,,
126.59639,,,,,
127.73896,,,,,
128.27533,,,,,
128.48225,,,,,
128.83511,,,,,
129.95871,,,,,
131.06541,,,,,
131.03488,,,,,
130.43599,,,,,
129.71652,,,,,
129.12138,,,,,
128.7998,,,,,
128.60938,,,,,
128.44377,,,,,
128.20885,,,,,
127.629456,,,,,
126.566086,,,,,
124.937904,,,,,
123.76919,,,,,
123.29244,,,,,
123.733826,,,,,
124.87589,,,,,
126.4553,,,,,
127.74366,,,,,
128.14978,,,,,
127.90101,,,,,
127.30532,,,,,
125.92924,,,,,
124.680244,,,,,
123.9492,,,,,
124.158966,,,,,
124.67465,,,,,
125.08365,,,,,
125.14821,,,,,
125.645744,,,,,
126.115074,,,,,
126.28573,,,,,
126.22913,,,,,
126.6205,,,,,
127.0559,,,,,
127.13842,,,,,
126.90079,,,,,
126.41999,,,,,
125.9384,,,,,
126.171196,,,,,
126.69023,,,,,
127.37072,,,,,
128.46065,,,,,
130.00829,,,,,
131.93147,,,,,
132.57574,,,,,
131.64201,,,,,
129.55452,,,,,
128.1759,,,,,
127.68668,,,,,
127.3901,,,,,
126.67849,,,,,
126.18052,,,,,
126.270454,,,,,
126.33641,,,,,
126.293686,,,,,
126.48069,,,,,
127.20985,,,,,
127.980415,,,,,
128.95279,,,,,
129.72949,,,,,
130.1234,,,,,
130.54205,,,,,
131.22868,,,,,
131.4315,,,,,
131.46863,,,,,
131.39763,,,,,
131.07483,,,,,
130.56177,,,,,
130.2694,,,,,
130.02869,,,,,
129.78352,,,,,
129.4513,,,,,
128.64435,,,,,
127.92551,,,,,
127.86259,,,,,
128.07295,,,,,
127.78459,,,,,
127.30379,,,,,
127.1016,,,,,
127.100914,,,,,
127.26447,,,,,
127.42695,,,,,
127.50775,,,,,
127.456604,,,,,
127.69862,,,,,
127.9063,,,,,
127.456825,,,,,
126.630196,,,,,
126.17971,,,,,
126.12979,,,,,
125.95285,,,,,
125.80128,,,,,
125.47055,,,,,
124.91474,,,,,
123.95624,,,,,
123.57687,,,,,
124.10955,,,,,
124.994316,,,,,
126.13092,,,,,
127.45069,,,,,
128.97769,,,,,
130.701,,,,,
129.70906,,,,,
127.67278,,,,,
125.92685,,,,,
124.53338,,,,,
123.638664,,,,,
123.20495,,,,,
122.92725,,,,,
122.76557,,,,,
122.47745,,,,,
121.27919,,,,,
118.74526,,,,,
116.46107,,,,,
115.00541,,,,,
114.76252,,,,,
115.60318,,,,,
115.79068,,,,,
115.728065,,,,,
115.446686,,,,,
115.40961,,,,,
115.74029,,,,,
116.15888,,,,,
116.05921,,,,,
114.83408,,,,,
110.35808,,,,,
106.91867,,,,,
105.60582,,,,,
106.799,,,,,
109.31224,,,,,
111.64901,,,,,
112.67882,,,,,
112.52792,,,,,
112.25622,,,,,
111.63624,,,,,
111.29502,,,,,
111.781525,,,,,
112.13307,,,,,
112.27837,,,,,
113.23828,,,,,
114.69211,,,,,
116.02027,,,,,
116.72005,,,,,
116.14333,,,,,
115.07016,,,,,
114.14335,,,,,
113.673416,,,,,
113.53903,,,,,
114.17603,,,,,
114.77444,,,,,
114.74878,,,,,
113.74612,,,,,
112.10276,,,,,
110.330605,,,,,
109.285645,,,,,
109.24758,,,,,
110.04622,,,,,
110.81525,,,,,
111.11676,,,,,
111.521286,,,,,
111.764336,,,,,
111.82765,,,,,
111.72223,,,,,
111.7034,,,,,
111.63958,,,,,
111.60466,,,,,
112.13037,,,,,
113.113625,,,,,
114.55767,,,,,
116.26016,,,,,
117.16402,,,,,
117.42829,,,,,
117.744255,,,,,
118.68472,,,,,
119.87159,,,,,
120.79092,,,,,
121.7241,,,,,
122.31345,,,,,
122.310905,,,,,
121.90103,,,,,
120.600464,,,,,
118.81925,,,,,
117.25254,,,,,
116.09691,,,,,
114.69047,,,,,
113.86354,,,,,
114.001526,,,,,
115.099045,,,,,
116.80491,,,,,
118.40464,,,,,
119.02352,,,,,
119.13042,,,,,
118.93825,,,,,
118.59295,,,,,
118.418655,,,,,
118.19072,,,,,
117.74192,,,,,
116.98485,,,,,
116.91635,,,,,
117.28232,,,,,
117.698204,,,,,
117.64168,,,,,
117.03266,,,,,
115.66619,,,,,
114.03365,,,,,
112.56452,,,,,
111.748085,,,,,
111.021286,,,,,
109.97468,,,,,
108.869125,,,,,
108.024574,,,,,
107.88723,,,,,
108.06661,,,,,
108.12263,,,,,
108.27443,,,,,
108.279625,,,,,
107.327324,,,,,
106.28491,,,,,
104.83756,,,,,
102.923065,,,,,
101.04275,,,,,
99.75236,,,,,
99.46424,,,,,
99.9119,,,,,
100.21114,,,,,
99.795975,,,,,
99.25092,,,,,
98.440796,,,,,
97.816345,,,,,
97.843864,,,,,
98.8838,,,,,
100.196014,,,,,
100.50486,,,,,
99.41947,,,,,
97.789825,,,,,
96.68472,,,,,
96.24144,,,,,
96.173386,,,,,
96.37108,,,,,
96.79415,,,,,
96.74162,,,,,
96.33496,,,,,
96.13712,,,,,
95.95937,,,,,
95.76411,,,,,
95.72393,,,,,
96.11578,,,,,
97.15135,,,,,
97.99965,,,,,
98.31908,,,,,
98.22481,,,,,
97.57385,,,,,
96.94934,,,,,
96.85194,,,,,
97.17506,,,,,
97.74806,,,,,
98.79728,,,,,
100.06881,,,,,
101.44418,,,,,
102.621124,,,,,
103.09435,,,,,
102.99855,,,,,
102.675446,,,,,
102.51416,,,,,
102.52839,,,,,
102.96811,,,,,
103.78598,,,,,
104.80487,,,,,
105.84493,,,,,
106.583305,,,,,
106.78853,,,,,
106.801544,,,,,
106.64667,,,,,
106.492165,,,,,
106.22354,,,,,
106.54909,,,,,
107.61535,,,,,
108.739494,,,,,
109.74853,,,,,
110.32396,,,,,
110.57699,,,,,
110.599144,,,,,
110.31109,,,,,
109.87464,,,,,
109.55884,,,,,
109.71752,,,,,
110.37526,,,,,
111.273155,,,,,
111.44995,,,,,
110.70817,,,,,
109.35528,,,,,
108.05483,,,,,
106.879875,,,,,
105.9662,,,,,
105.22629,,,,,
103.354416,,,,,
100.966225,,,,,
98.40504,,,,,
96.22242,,,,,
94.83957,,,,,
94.450676,,,,,
94.60088,,,,,
94.78166,,,,,
94.75504,,,,,
94.61888,,,,,
94.522995,,,,,
94.40228,,,,,
93.83717,,,,,
93.30375,,,,,
93.43377,,,,,
94.10293,,,,,
94.97569,,,,,
95.72424,,,,,
96.380554,,,,,
97.13089,,,,,
98.11563,,,,,
99.27872,,,,,
100.276146,,,,,
100.905685,,,,,
101.06016,,,,,
100.640045,,,,,
99.941246,,,,,
99.329636,,,,,
99.18118,,,,,
99.40592,,,,,
99.6662,,,,,
99.79214,,,,,
99.804726,,,,,
99.53845,,,,,
99.162605,,,,,
98.63202,,,,,
98.08832,,,,,
97.58123,,,,,
97.016815,,,,,
96.67942,,,,,
96.60286,,,,,
96.20903,,,,,
95.486595,,,,,
94.710266,,,,,
94.29365,,,,,
94.37615,,,,,
94.94119,,,,,
95.68346,,,,,
96.17805,,,,,
96.48667,,,,,
96.817474,,,,,
97.22004,,,,,
97.66815,,,,,
98.09537,,,,,
98.413345,,,,,
98.8346,,,,,
99.29616,,,,,
99.803604,,,,,
100.33211,,,,,
100.742676,,,,,
100.866516,,,,,
100.577896,,,,,
99.82217,,,,,
100.12523,,,,,
101.34536,,,,,
102.9545,,,,,
104.373314,,,,,
105.55144,,,,,
106.17641,,,,,
106.38876,,,,,
106.505875,,,,,
106.859,,,,,
107.499954,,,,,
108.2692,,,,,
108.876785,,,,,
109.05613,,,,,
108.94854,,,,,
109.025635,,,,,
109.24214,,,,,
109.47066,,,,,
109.53928,,,,,
109.46942,,,,,
109.30034,,,,,
109.11057,,,,,
108.75268,,,,,
108.3115,,,,,
107.800575,,,,,
107.19532,,,,,
106.611725,,,,,
106.27337,,,,,
106.48797,,,,,
107.11784,,,,,
107.7953,,,,,
108.16018,,,,,
107.720245,,,,,
106.41164,,,,,
105.679184,,,,,
106.145454,,,,,
108.29813,,,,,
111.40682,,,,,
114.18313,,,,,
115.43929,,,,,
115.46722,,,,,
115.050224,,,,,
114.692314,,,,,
114.01512,,,,,
113.3932,,,,,
113.20112,,,,,
113.28832,,,,,
113.31214,,,,,
113.243095,,,,,
113.21145,,,,,
113.31054,,,,,
113.53844,,,,,
113.90114,,,,,
114.40541,,,,,
115.4141,,,,,
116.550896,,,,,
117.27386,,,,,
117.693344,,,,,
117.81646,,,,,
117.91146,,,,,
117.86902,,,,,
117.63242,,,,,
117.31722,,,,,
117.11899,,,,,
117.24865,,,,,
116.87462,,,,,
116.23601,,,,,
115.40904,,,,,
114.60139,,,,,
113.98533,,,,,
113.250206,,,,,
112.40138,,,,,
111.22311,,,,,
110.28854,,,,,
109.917,,,,,
109.930435,,,,,
110.31046,,,,,
110.112335,,,,,
109.422874,,,,,
108.46949,,,,,
107.62781,,,,,
107.674934,,,,,
108.46538,,,,,
109.51324,,,,,
110.7092,,,,,
111.654495,,,,,
112.10959,,,,,
112.20311,,,,,
112.00616,,,,,
111.84473,,,,,
111.60671,,,,,
111.090866,,,,,
110.60791,,,,,
110.25891,,,,,
110.01933,,,,,
110.16638,,,,,
110.874016,,,,,
111.992485,,,,,
113.171265,,,,,
114.27916,,,,,
115.17171,,,,,
115.93578,,,,,
116.37507,,,,,
116.65759,,,,,
116.869804,,,,,
116.92573,,,,,
116.7019,,,,,
116.51432,,,,,
116.68659,,,,,
116.8951,,,,,
116.99881,,,,,
116.83249,,,,,
116.51276,,,,,
116.22712,,,,,
116.23294,,,,,
116.69953,,,,,
117.53056,,,,,
118.34828,,,,,
118.91255,,,,,
119.21234,,,,,
119.158905,,,,,
119.226295,,,,,
119.37534,,,,,
119.71118,,,,,
120.026535,,,,,
120.106895,,,,,
120.1675,,,,,
120.5385,,,,,
121.18689,,,,,
121.57043,,,,,
121.6154,,,,,
122.705864,,,,,
124.76787,,,,,
126.860756,,,,,
128.41417,,,,,
129.53777,,,,,
130.41803,,,,,
131.07771,,,,,
131.64958,,,,,
132.22144,,,,,
132.76915,,,,,
133.64362,,,,,
134.61209,,,,,
135.18259,,,,,
135.56105,,,,,
135.87236,,,,,
136.31825,,,,,
136.41844,,,,,
136.4752,,,,,
136.58109,,,,,
136.88702,,,,,
137.7631,,,,,
138.5013,,,,,
138.93166,,,,,
139.0155,,,,,
138.87517,,,,,
138.63852,,,,,
138.56317,,,,,
138.55324,,,,,
138.6552,,,,,
138.83464,,,,,
139.3198,,,,,
139.9668,,,,,
140.3373,,,,,
140.79776,,,,,
140.73936,,,,,
140.62012,,,,,
140.70256,,,,,
140.3938,,,,,
140.18626,,,,,
140.9221,,,,,
142.26527,,,,,
143.31895,,,,,
143.75374,,,,,
143.6185,,,,,
143.50847,,,,,
143.59862,,,,,
143.64194,,,,,
143.55687,,,,,
143.26112,,,,,
142.59103,,,,,
141.94997,,,,,
141.48424,,,,,
141.22331,,,,,
141.24593,,,,,
141.25607,,,,,
141.48053,,,,,
142.08571,,,,,
142.85464,,,,,
143.58382,,,,,
143.92302,,,,,
143.9524,,,,,
144.11537,,,,,
145.03676,,,,,
145.71506,,,,,
146.07909,,,,,
146.28891,,,,,
147.00572,,,,,
149.23079,,,,,
151.70607,,,,,
152.93637,,,,,
153.5902,,,,,
154.35791,,,,,
155.06618,,,,,
154.83484,,,,,
153.43922,,,,,
152.4609,,,,,
152.48213,,,,,
153.29158,,,,,
153.8718,,,,,
153.93134,,,,,
153.77312,,,,,
153.46263,,,,,
153.3131,,,,,
153.12009,,,,,
153.01483,,,,,
153.22493,,,,,
153.44518,,,,,
153.84262,,,,,
154.32097,,,,,
154.65567,,,,,
152.23163,,,,,
149.05423,,,,,
146.96526,,,,,
145.24356,,,,,
144.02472,,,,,
143.40097,,,,,
144.06163,,,,,
144.98886,,,,,
145.575,,,,,
145.56564,,,,,
145.75139,,,,,
145.61687,,,,,
145.07883,,,,,
144.5511,,,,,
144.2115,,,,,
144.19781,,,,,
144.08115,,,,,
143.67592,,,,,
143.18321,,,,,
143.1356,,,,,
143.59816,,,,,
144.47456,,,,,
145.19926,,,,,
146.16621,,,,,
147.33112,,,,,
148.34613,,,,,
149.27498,,,,,
150.21275,,,,,
150.5103,,,,,
150.4403,,,,,
150.63664,,,,,
